row,column,row_offset,column_offset,text,row_height_feet,column_width_feet,is_merged,merge_top,merge_left,merge_bottom,merge_right,text_size,is_bold,horizontal_alignment,vertical_alignment
0,0,0,0,,0.020833333333333336,0.021795362256215287,True,0,0,0,10,,,,
0,1,0,1,,0.020833333333333336,0.10374592433958478,True,0,0,0,10,,,,
0,2,0,2,,0.020833333333333336,0.06015938453670739,True,0,0,0,10,,,,
0,3,0,3,,0.020833333333333336,0.047705688906404017,True,0,0,0,10,,,,
0,4,0,4,,0.020833333333333336,0.030966850693630685,True,0,0,0,10,,,,
0,5,0,5,,0.020833333333333336,0.030966850693630685,True,0,0,0,10,,,,
0,6,0,6,,0.020833333333333336,0.062770643297900025,True,0,0,0,10,,,,
0,7,0,7,,0.020833333333333336,0.049898476712277338,True,0,0,0,10,,,,
0,8,0,8,,0.020833333333333336,0.02615443470745835,True,0,0,0,10,,,,
0,9,0,9,,0.020833333333333336,0.02615443470745828,True,0,0,0,10,,,,
0,10,0,10,,0.020833333333333336,0.041847095531933352,True,0,0,0,10,,,,
1,0,1,0,CONCRETE MIX DESIGN REQUIREMENTS,0.026041666666666671,0.021795362256215287,True,1,0,1,9,,,,
1,1,1,1,,0.026041666666666671,0.10374592433958478,True,1,0,1,9,,,,
1,2,1,2,,0.026041666666666671,0.06015938453670739,True,1,0,1,9,,,,
1,3,1,3,,0.026041666666666671,0.047705688906404017,True,1,0,1,9,,,,
1,4,1,4,,0.026041666666666671,0.030966850693630685,True,1,0,1,9,,,,
1,5,1,5,,0.026041666666666671,0.030966850693630685,True,1,0,1,9,,,,
1,6,1,6,,0.026041666666666671,0.062770643297900025,True,1,0,1,9,,,,
1,7,1,7,,0.026041666666666671,0.049898476712277338,True,1,0,1,9,,,,
1,8,1,8,,0.026041666666666671,0.02615443470745835,True,1,0,1,9,,,,
1,9,1,9,,0.026041666666666671,0.02615443470745828,True,1,0,1,9,,,,
1,10,1,10,1,0.026041666666666671,0.041847095531933352,True,1,10,1,10,,,,
2,0,2,0,Element,0.050000000000000003,0.021795362256215287,True,2,0,2,1,,,,
2,1,2,1,,0.050000000000000003,0.10374592433958478,True,2,0,2,1,,,,
2,2,2,2,f'c (psi),0.050000000000000003,0.06015938453670739,True,2,2,2,2,,,,
2,3,2,3,Cement Type (Note 6),0.050000000000000003,0.047705688906404017,True,2,3,2,3,,,,
2,4,2,4,Max W/C,0.050000000000000003,0.030966850693630685,True,2,4,2,4,,,,
2,5,2,5,Max Agg,0.050000000000000003,0.030966850693630685,True,2,5,2,5,,,,
2,6,2,6,"Air Content (Note 1,2)",0.050000000000000003,0.062770643297900025,True,2,6,2,6,,,,
2,7,2,7,Slump (Note 3),0.050000000000000003,0.049898476712277338,True,2,7,2,7,,,,
2,8,2,8,Exposure Class,0.050000000000000003,0.02615443470745835,True,2,8,2,9,,,,
2,9,2,9,,0.050000000000000003,0.02615443470745828,True,2,8,2,9,,,,
2,10,2,10,"2, 3  ",0.050000000000000003,0.041847095531933352,True,2,10,2,10,,,,
3,0,3,0,Drilled Piers,0.020833333333333336,0.021795362256215287,True,3,0,4,1,,,,
3,1,3,1,,0.020833333333333336,0.10374592433958478,True,3,0,4,1,,,,
3,2,3,2,"--,
at 56 days",0.020833333333333336,0.06015938453670739,True,3,2,4,2,,,,
3,3,3,3,-,0.020833333333333336,0.047705688906404017,True,3,3,4,3,,,,
3,4,3,4,-,0.020833333333333336,0.030966850693630685,True,3,4,4,4,,,,
3,5,3,5,"1""",0.020833333333333336,0.030966850693630685,True,3,5,4,5,,,,
3,6,3,6,-,0.020833333333333336,0.062770643297900025,True,3,6,4,6,,,,
3,7,3,7,"6""-8""",0.020833333333333336,0.049898476712277338,True,3,7,4,7,,,,
3,8,3,8,F_,0.020833333333333336,0.02615443470745835,True,3,8,3,8,,,,
3,9,3,9,C_,0.020833333333333336,0.02615443470745828,True,3,9,3,9,,,,
3,10,3,10,10,0.020833333333333336,0.041847095531933352,True,3,10,3,10,,,,
4,0,4,0,,0.020833333333333336,0.021795362256215287,True,3,0,4,1,,,,
4,1,4,1,,0.020833333333333336,0.10374592433958478,True,3,0,4,1,,,,
4,2,4,2,,0.020833333333333336,0.06015938453670739,True,3,2,4,2,,,,
4,3,4,3,,0.020833333333333336,0.047705688906404017,True,3,3,4,3,,,,
4,4,4,4,,0.020833333333333336,0.030966850693630685,True,3,4,4,4,,,,
4,5,4,5,,0.020833333333333336,0.030966850693630685,True,3,5,4,5,,,,
4,6,4,6,,0.020833333333333336,0.062770643297900025,True,3,6,4,6,,,,
4,7,4,7,,0.020833333333333336,0.049898476712277338,True,3,7,4,7,,,,
4,8,4,8,S_,0.020833333333333336,0.02615443470745835,True,4,8,4,8,,,,
4,9,4,9,W,0.020833333333333336,0.02615443470745828,True,4,9,4,9,,,,
4,10,4,10,,0.020833333333333336,0.041847095531933352,True,4,10,4,10,,,,
5,0,5,0,Pier Caps,0.020833333333333336,0.021795362256215287,True,5,0,6,1,,,,
5,1,5,1,,0.020833333333333336,0.10374592433958478,True,5,0,6,1,,,,
5,2,5,2,"--, 
at 56 days",0.020833333333333336,0.06015938453670739,True,5,2,6,2,,,,
5,3,5,3,-,0.020833333333333336,0.047705688906404017,True,5,3,6,3,,,,
5,4,5,4,-,0.020833333333333336,0.030966850693630685,True,5,4,6,4,,,,
5,5,5,5,"3/4""",0.020833333333333336,0.030966850693630685,True,5,5,6,5,,,,
5,6,5,6,-,0.020833333333333336,0.062770643297900025,True,5,6,6,6,,,,
5,7,5,7,-,0.020833333333333336,0.049898476712277338,True,5,7,6,7,,,,
5,8,5,8,F_,0.020833333333333336,0.02615443470745835,True,5,8,5,8,,,,
5,9,5,9,C_,0.020833333333333336,0.02615443470745828,True,5,9,5,9,,,,
5,10,5,10,"4, 10 ",0.020833333333333336,0.041847095531933352,True,5,10,5,10,,,,
6,0,6,0,,0.020833333333333336,0.021795362256215287,True,5,0,6,1,,,,
6,1,6,1,,0.020833333333333336,0.10374592433958478,True,5,0,6,1,,,,
6,2,6,2,,0.020833333333333336,0.06015938453670739,True,5,2,6,2,,,,
6,3,6,3,,0.020833333333333336,0.047705688906404017,True,5,3,6,3,,,,
6,4,6,4,,0.020833333333333336,0.030966850693630685,True,5,4,6,4,,,,
6,5,6,5,,0.020833333333333336,0.030966850693630685,True,5,5,6,5,,,,
6,6,6,6,,0.020833333333333336,0.062770643297900025,True,5,6,6,6,,,,
6,7,6,7,,0.020833333333333336,0.049898476712277338,True,5,7,6,7,,,,
6,8,6,8,S_,0.020833333333333336,0.02615443470745835,True,6,8,6,8,,,,
6,9,6,9,W,0.020833333333333336,0.02615443470745828,True,6,9,6,9,,,,
6,10,6,10,,0.020833333333333336,0.041847095531933352,True,6,10,6,10,,,,
7,0,7,0,Top of Piers in contact with concrete columns & pilasters,0.025000000000000001,0.021795362256215287,True,7,0,8,1,,,,
7,1,7,1,,0.025000000000000001,0.10374592433958478,True,7,0,8,1,,,,
7,2,7,2,"--,
at 56 days",0.025000000000000001,0.06015938453670739,True,7,2,8,2,,,,
7,3,7,3,-,0.025000000000000001,0.047705688906404017,True,7,3,8,3,,,,
7,4,7,4,-,0.025000000000000001,0.030966850693630685,True,7,4,8,4,,,,
7,5,7,5,"3/4""",0.025000000000000001,0.030966850693630685,True,7,5,8,5,,,,
7,6,7,6,-,0.025000000000000001,0.062770643297900025,True,7,6,8,6,,,,
7,7,7,7,-,0.025000000000000001,0.049898476712277338,True,7,7,8,7,,,,
7,8,7,8,F_,0.025000000000000001,0.02615443470745835,True,7,8,7,8,,,,
7,9,7,9,C_,0.025000000000000001,0.02615443470745828,True,7,9,7,9,,,,
7,10,7,10,"4, 10",0.025000000000000001,0.041847095531933352,True,7,10,7,10,,,,
8,0,8,0,,0.026041666666666668,0.021795362256215287,True,7,0,8,1,,,,
8,1,8,1,,0.026041666666666668,0.10374592433958478,True,7,0,8,1,,,,
8,2,8,2,,0.026041666666666668,0.06015938453670739,True,7,2,8,2,,,,
8,3,8,3,,0.026041666666666668,0.047705688906404017,True,7,3,8,3,,,,
8,4,8,4,,0.026041666666666668,0.030966850693630685,True,7,4,8,4,,,,
8,5,8,5,,0.026041666666666668,0.030966850693630685,True,7,5,8,5,,,,
8,6,8,6,,0.026041666666666668,0.062770643297900025,True,7,6,8,6,,,,
8,7,8,7,,0.026041666666666668,0.049898476712277338,True,7,7,8,7,,,,
8,8,8,8,S_,0.026041666666666668,0.02615443470745835,True,8,8,8,8,,,,
8,9,8,9,W,0.026041666666666668,0.02615443470745828,True,8,9,8,9,,,,
8,10,8,10,,0.026041666666666668,0.041847095531933352,True,8,10,8,10,,,,
9,0,9,0,Footings,0.020833333333333336,0.021795362256215287,True,9,0,10,1,,,,
9,1,9,1,,0.020833333333333336,0.10374592433958478,True,9,0,10,1,,,,
9,2,9,2,"--,
at 56 days",0.020833333333333336,0.06015938453670739,True,9,2,10,2,,,,
9,3,9,3,-,0.020833333333333336,0.047705688906404017,True,9,3,10,3,,,,
